br_inst_retired.all_branches_pebs:u,br_misp_retired.all_branches_pebs:u,cpu-cycles:u,instructions:u
5442358.0,123258.0,30043779.0,26115413.0
5477829.0,123917.0,30013801.0,26295596.0
5412408.0,121488.0,30059638.0,25973014.0
5394291.0,122392.0,30053806.0,25885554.0
5275068.0,125029.0,29863817.0,25302948.0
5371588.0,127560.0,30001902.0,25755231.0
5385989.0,122413.0,30032249.0,25851784.0
5272866.0,118748.0,29950396.0,25252201.0
5437789.0,121758.0,30002151.0,26080000.0
5447833.0,123552.0,29991765.0,26159897.0
5345434.0,121687.0,30010645.0,25563581.0
5471711.0,123843.0,30024713.0,26227857.0
5415069.0,123585.0,30032138.0,25943196.0
5311484.0,121819.0,29935911.0,25385127.0
5344899.0,126239.0,29889065.0,25585430.0
5346786.0,122388.0,29971919.0,25536526.0
5396454.0,123174.0,29961235.0,25823495.0
5345396.0,123696.0,29966860.0,25542845.0
5375542.0,123224.0,30011095.0,25727387.0
5348532.0,124384.0,30062066.0,25555647.0
5395993.0,124510.0,30027404.0,25833463.0
5377910.0,126318.0,30002161.0,25688878.0
5318741.0,123439.0,30005246.0,25434268.0
5311137.0,124087.0,29979087.0,25363553.0
5289758.0,123413.0,29921835.0,25274736.0
5363404.0,125804.0,30014596.0,25647114.0
5335416.0,124791.0,29999850.0,25494968.0
5270287.0,123976.0,29908124.0,25136607.0
5303511.0,123369.0,30062290.0,25339678.0
5263682.0,123280.0,29964629.0,25080371.0
5397561.0,127284.0,30017151.0,25774822.0
5226915.0,129931.0,30087319.0,24960099.0
5216458.0,144123.0,30104741.0,24846210.0
5334105.0,129771.0,30033547.0,25442022.0
5286171.0,125501.0,30000587.0,25133589.0
5514114.0,128611.0,30021172.0,26374093.0
5442432.0,125620.0,30105931.0,26047335.0
5272185.0,125208.0,29998932.0,25123340.0
5323975.0,125477.0,30091783.0,25422055.0
5297034.0,125184.0,30100686.0,25304185.0
5303667.0,124832.0,30098444.0,25308064.0
5366002.0,124765.0,30108500.0,25677764.0
5290500.0,124770.0,30094132.0,25281146.0
5376105.0,126849.0,30104732.0,25668481.0
5205486.0,124794.0,29994925.0,24745904.0
5375595.0,128525.0,30100081.0,25590853.0
5276581.0,124636.0,30073901.0,25200684.0
5272536.0,126582.0,30006581.0,25087051.0
5224513.0,122050.0,29996080.0,24927213.0
5479095.0,127471.0,30106024.0,26199909.0
5373562.0,126844.0,30099037.0,25627813.0
5299986.0,125171.0,30096415.0,25246200.0
5334469.0,126646.0,30061027.0,25393175.0
5248313.0,125311.0,30038498.0,24978077.0
5283201.0,126864.0,29947497.0,25149427.0
5360296.0,129482.0,30024147.0,25530239.0
5240659.0,124769.0,30026258.0,24889873.0
5205266.0,123367.0,29892617.0,24827383.0
5339014.0,127055.0,30106951.0,25498817.0
5237839.0,125447.0,30094632.0,24973689.0
5203163.0,122966.0,30013872.0,24789202.0
5157529.0,122723.0,30014313.0,24602281.0
5251960.0,124504.0,30101073.0,25061784.0
5184407.0,124843.0,29944856.0,24664313.0
5266278.0,125706.0,29825380.0,25134450.0
5328019.0,127856.0,30043233.0,25373652.0
5306394.0,127782.0,29940057.0,25205849.0
5275623.0,125783.0,29869006.0,25132651.0
5264848.0,126274.0,30012717.0,25023907.0
5416989.0,129143.0,29958455.0,25785320.0
